"CODE","NAME","CASES","CASESVARIATION","AVERAGETEMP","DAY"
"BN","Brunei Darussalam","148","0","29","20201117 21:00:00.000 -0300"
"BN","Brunei Darussalam","148","0","28","20201118 21:00:00.000 -0300"
"BR","Brazil","38","0.22580645161290322","27","20200309 21:00:00.000 -0300"
"BR","Brazil","52","0.3684210526315789","26","20200310 21:00:00.000 -0300"
"BR","Brazil","151","1.9038461538461537","28","20200311 21:00:00.000 -0300"
"BR","Brazil","151","0","27","20200312 21:00:00.000 -0300"
"BR","Brazil","162","0.0728476821192053","27","20200313 21:00:00.000 -0300"
"BR","Brazil","200","0.2345679012345679","27","20200314 21:00:00.000 -0300"
"BR","Brazil","321","0.605","26","20200315 21:00:00.000 -0300"
"BR","Brazil","372","0.1588785046728972","27","20200316 21:00:00.000 -0300"
"BR","Brazil","621","0.6693548387096774","28","20200317 21:00:00.000 -0300"
"BR","Brazil","793","0.27697262479871176","28","20200318 21:00:00.000 -0300"
"BR","Brazil","169594","0.04237887141285441","25","20200509 21:00:00.000 -0300"
"BR","Brazil","178214","0.05082726983265917","26","20200510 21:00:00.000 -0300"
"BR","Brazil","190137","0.06690271246927851","25","20200511 21:00:00.000 -0300"
"BR","Brazil","203165","0.0685190152363822","26","20200512 21:00:00.000 -0300"
"BR","Brazil","220291","0.08429601555386017","25","20200513 21:00:00.000 -0300"
"BR","Brazil","233511","0.06001153020323118","25","20200514 21:00:00.000 -0300"
"BR","Brazil","241080","0.03241389056618318","24","20200515 21:00:00.000 -0300"
"BR","Brazil","255368","0.059266633482661354","25","20200516 21:00:00.000 -0300"
"BR","Brazil","271885","0.06467920804486076","24","20200517 21:00:00.000 -0300"
"BR","Brazil","291579","0.072435036872207","25","20200518 21:00:00.000 -0300"
"BR","Brazil","1839850","0.021669488518330744","27","20200709 21:00:00.000 -0300"
"BR","Brazil","1864681","0.013496208930075821","28","20200710 21:00:00.000 -0300"
"BR","Brazil","1884967","0.010879072613492602","29","20200711 21:00:00.000 -0300"
"BR","Brazil","1926824","0.022205693786681677","29","20200712 21:00:00.000 -0300"
"BR","Brazil","1966748","0.02072010728535663","28","20200713 21:00:00.000 -0300"
"BR","Brazil","2012151","0.023085316471657784","27","20200714 21:00:00.000 -0300"
"BR","Brazil","2046328","0.016985305774765414","27","20200715 21:00:00.000 -0300"
"BR","Brazil","2074860","0.013943023796771583","27","20200716 21:00:00.000 -0300"
"BR","Brazil","2098389","0.011340042219716028","26","20200717 21:00:00.000 -0300"
"BR","Brazil","2118646","0.009653596163533073","26","20200718 21:00:00.000 -0300"
"BR","Brazil","4282164","0.010314629465610745","34","20200909 21:00:00.000 -0300"
"BR","Brazil","4315687","0.007828518478040543","33","20200910 21:00:00.000 -0300"
"BR","Brazil","4330455","0.0034219349086252087","33","20200911 21:00:00.000 -0300"
"BR","Brazil","4345610","0.0034996322557329426","33","20200912 21:00:00.000 -0300"
"BR","Brazil","4382263","0.00843448905907341","33","20200913 21:00:00.000 -0300"
"BR","Brazil","4419083","0.008402051634053","33","20200914 21:00:00.000 -0300"
"BR","Brazil","4455386","0.008215052760946105","36","20200915 21:00:00.000 -0300"
"BR","Brazil","4495183","0.008932334931249503","36","20200916 21:00:00.000 -0300"
"BR","Brazil","4528240","0.007353871911332642","36","20200917 21:00:00.000 -0300"
"BR","Brazil","4544629","0.003619286963588502","36","20200918 21:00:00.000 -0300"
"BR","Brazil","5747660","0.008537455222446725","31","20201109 21:00:00.000 -0300"
"BR","Brazil","5781582","0.005901880069454352","31","20201110 21:00:00.000 -0300"
"BR","Brazil","5810652","0.005028035579189225","30","20201111 21:00:00.000 -0300"
"BR","Brazil","5848959","0.006592547617720008","30","20201112 21:00:00.000 -0300"
"BR","Brazil","5863093","0.0024164983888585985","29","20201113 21:00:00.000 -0300"
"BR","Brazil","5876464","0.0022805369111491155","30","20201114 21:00:00.000 -0300"
"BR","Brazil","5911758","0.006005992719431277","30","20201115 21:00:00.000 -0300"
"BR","Brazil","5945849","0.00576664335718749","30","20201116 21:00:00.000 -0300"
"BR","Brazil","5981767","0.006040853038817501","27","20201117 21:00:00.000 -0300"
"BR","Brazil","6020164","0.006419006290281784","28","20201118 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1","0","32","20200309 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1","0","33","20200310 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1","0","30","20200311 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1","0","31","20200312 21:00:00.000 -0300"
